id	label	type
trade 3095093	'trade 3095093'@en	transaction
Cash (18578)	'Cash (18578)'@en	person
2004-09-09T12:32:08.407	'2004-09-09T12:32:08.407'@en	literal
86	'86'@en	literal
trade 3095146	'trade 3095146'@en	transaction
Angelina (18642)	'Angelina (18642)'@en	person
2004-09-09T13:17:52.133	'2004-09-09T13:17:52.133'@en	literal
trade 3095162	'trade 3095162'@en	transaction
Jett (18610)	'Jett (18610)'@en	person
2004-09-09T13:32:30.393	'2004-09-09T13:32:30.393'@en	literal
trade 3095374	'trade 3095374'@en	transaction
Nevaeh (17560)	'Nevaeh (17560)'@en	person
2004-09-09T18:02:48.750	'2004-09-09T18:02:48.750'@en	literal
0.556	'0.556'@en	literal
trade 3095387	'trade 3095387'@en	transaction
2004-09-09T18:03:29.863	'2004-09-09T18:03:29.863'@en	literal
18	'18'@en	literal
trade 3095578	'trade 3095578'@en	transaction
Harley (18644)	'Harley (18644)'@en	person
2004-09-10T00:08:32.333	'2004-09-10T00:08:32.333'@en	literal
0.459	'0.459'@en	literal
trade 3095627	'trade 3095627'@en	transaction
Vivienne (18566)	'Vivienne (18566)'@en	person
2004-09-10T00:29:52.550	'2004-09-10T00:29:52.550'@en	literal
0.551	'0.551'@en	literal
trade 3095634	'trade 3095634'@en	transaction
2004-09-10T00:31:05.723	'2004-09-10T00:31:05.723'@en	literal
trade 3095651	'trade 3095651'@en	transaction
2004-09-10T07:40:44.883	'2004-09-10T07:40:44.883'@en	literal
trade 3096418	'trade 3096418'@en	transaction
2004-09-11T19:02:19.713	'2004-09-11T19:02:19.713'@en	literal
trade 3096548	'trade 3096548'@en	transaction
Hayes (18533)	'Hayes (18533)'@en	person
2004-09-12T11:43:02.120	'2004-09-12T11:43:02.120'@en	literal
0.446	'0.446'@en	literal
trade 3096564	'trade 3096564'@en	transaction
Scott (7530)	'Scott (7530)'@en	person
2004-09-12T11:48:28.083	'2004-09-12T11:48:28.083'@en	literal
trade 3096779	'trade 3096779'@en	transaction
Athena (18181)	'Athena (18181)'@en	person
2004-09-12T19:04:48.400	'2004-09-12T19:04:48.400'@en	literal
0.563	'0.563'@en	literal
trade 3096791	'trade 3096791'@en	transaction
Adelaide (18602)	'Adelaide (18602)'@en	person
2004-09-12T19:27:44.083	'2004-09-12T19:27:44.083'@en	literal
0.565	'0.565'@en	literal
trade 3096811	'trade 3096811'@en	transaction
Corey (5298)	'Corey (5298)'@en	person
2004-09-12T19:28:16.650	'2004-09-12T19:28:16.650'@en	literal
0.435	'0.435'@en	literal
123	'123'@en	literal
trade 3096894	'trade 3096894'@en	transaction
2004-09-12T20:08:35.900	'2004-09-12T20:08:35.900'@en	literal
trade 3097032	'trade 3097032'@en	transaction
2004-09-13T05:38:29.010	'2004-09-13T05:38:29.010'@en	literal
trade 3097545	'trade 3097545'@en	transaction
Kai (17767)	'Kai (17767)'@en	person
2004-09-14T01:15:15.403	'2004-09-14T01:15:15.403'@en	literal
0.567	'0.567'@en	literal
trade 3097642	'trade 3097642'@en	transaction
2004-09-14T08:04:10.507	'2004-09-14T08:04:10.507'@en	literal
0.431	'0.431'@en	literal
trade 3098097	'trade 3098097'@en	transaction
Journey (18666)	'Journey (18666)'@en	person
2004-09-14T13:07:07.113	'2004-09-14T13:07:07.113'@en	literal
0.571	'0.571'@en	literal
trade 3098140	'trade 3098140'@en	transaction
2004-09-14T13:12:15.220	'2004-09-14T13:12:15.220'@en	literal
trade 3098406	'trade 3098406'@en	transaction
Zayn (18695)	'Zayn (18695)'@en	person
2004-09-14T15:23:12.860	'2004-09-14T15:23:12.860'@en	literal
0.584	'0.584'@en	literal
trade 3098597	'trade 3098597'@en	transaction
2004-09-14T17:49:05.427	'2004-09-14T17:49:05.427'@en	literal
0.422	'0.422'@en	literal
trade 3098904	'trade 3098904'@en	transaction
Oaklyn (7658)	'Oaklyn (7658)'@en	person
2004-09-14T23:13:27.093	'2004-09-14T23:13:27.093'@en	literal
trade 3099122	'trade 3099122'@en	transaction
Alexis (18694)	'Alexis (18694)'@en	person
Quentin (6141)	'Quentin (6141)'@en	person
2004-09-15T09:04:08.700	'2004-09-15T09:04:08.700'@en	literal
0.573	'0.573'@en	literal
102	'102'@en	literal
trade 3099421	'trade 3099421'@en	transaction
Benjamin (135)	'Benjamin (135)'@en	person
2004-09-15T10:33:50.407	'2004-09-15T10:33:50.407'@en	literal
0.599	'0.599'@en	literal
trade 3099928	'trade 3099928'@en	transaction
Drew (5549)	'Drew (5549)'@en	person
2004-09-15T14:13:48.840	'2004-09-15T14:13:48.840'@en	literal
0.418	'0.418'@en	literal
trade 3100202	'trade 3100202'@en	transaction
2004-09-15T19:34:42.940	'2004-09-15T19:34:42.940'@en	literal
0.588	'0.588'@en	literal
trade 3100437	'trade 3100437'@en	transaction
2004-09-16T08:29:20.483	'2004-09-16T08:29:20.483'@en	literal
0.412	'0.412'@en	literal
trade 3100468	'trade 3100468'@en	transaction
2004-09-16T09:22:47.177	'2004-09-16T09:22:47.177'@en	literal
0.591	'0.591'@en	literal
trade 3100580	'trade 3100580'@en	transaction
2004-09-16T10:35:36.910	'2004-09-16T10:35:36.910'@en	literal
0.408	'0.408'@en	literal
trade 3100783	'trade 3100783'@en	transaction
Elliot (18348)	'Elliot (18348)'@en	person
2004-09-16T16:15:12.097	'2004-09-16T16:15:12.097'@en	literal
0.406	'0.406'@en	literal
trade 3100792	'trade 3100792'@en	transaction
2004-09-16T16:15:13.143	'2004-09-16T16:15:13.143'@en	literal
0.6	'0.6'@en	literal
trade 3100882	'trade 3100882'@en	transaction
Winter (18708)	'Winter (18708)'@en	person
2004-09-16T20:23:28.433	'2004-09-16T20:23:28.433'@en	literal
trade 3101141	'trade 3101141'@en	transaction
2004-09-17T00:10:00.970	'2004-09-17T00:10:00.970'@en	literal
0.594	'0.594'@en	literal
trade 3101378	'trade 3101378'@en	transaction
Juliet (18688)	'Juliet (18688)'@en	person
2004-09-17T13:36:49.040	'2004-09-17T13:36:49.040'@en	literal
0.595	'0.595'@en	literal
91	'91'@en	literal
trade 3101637	'trade 3101637'@en	transaction
Raymond (18699)	'Raymond (18699)'@en	person
2004-09-17T19:28:50.997	'2004-09-17T19:28:50.997'@en	literal
0.606	'0.606'@en	literal
trade 3101702	'trade 3101702'@en	transaction
2004-09-17T19:32:19.780	'2004-09-17T19:32:19.780'@en	literal
0.401	'0.401'@en	literal
23	'23'@en	literal
trade 3101721	'trade 3101721'@en	transaction
2004-09-17T19:33:19.850	'2004-09-17T19:33:19.850'@en	literal
trade 3101815	'trade 3101815'@en	transaction
Delaney (18702)	'Delaney (18702)'@en	person
2004-09-17T23:53:53.990	'2004-09-17T23:53:53.990'@en	literal
0.619	'0.619'@en	literal
trade 3102996	'trade 3102996'@en	transaction
Andre (18616)	'Andre (18616)'@en	person
2004-09-20T10:01:02.923	'2004-09-20T10:01:02.923'@en	literal
0.384	'0.384'@en	literal
48	'48'@en	literal
trade 3103295	'trade 3103295'@en	transaction
2004-09-20T13:08:20.227	'2004-09-20T13:08:20.227'@en	literal
0.61	'0.61'@en	literal
trade 3103358	'trade 3103358'@en	transaction
2004-09-20T13:51:14.193	'2004-09-20T13:51:14.193'@en	literal
0.393	'0.393'@en	literal
trade 3103747	'trade 3103747'@en	transaction
2004-09-20T22:40:21.350	'2004-09-20T22:40:21.350'@en	literal
0.612	'0.612'@en	literal
trade 3104271	'trade 3104271'@en	transaction
Brynn (18798)	'Brynn (18798)'@en	person
DEM04_G52	'DEM04_G52'@en	asset
2004-09-21T13:06:10.097	'2004-09-21T13:06:10.097'@en	literal
0.06	'0.06'@en	literal
trade 3104511	'trade 3104511'@en	transaction
Ismael (18837)	'Ismael (18837)'@en	person
2004-09-21T13:40:20.780	'2004-09-21T13:40:20.780'@en	literal
0.085	'0.085'@en	literal
400	'400'@en	literal
trade 3104555	'trade 3104555'@en	transaction
Charlee (18604)	'Charlee (18604)'@en	person
REP04_L52	'REP04_L52'@en	asset
2004-09-21T13:56:16.223	'2004-09-21T13:56:16.223'@en	literal
0.378	'0.378'@en	literal
trade 3104600	'trade 3104600'@en	transaction
Corbin (18833)	'Corbin (18833)'@en	person
2004-09-21T13:56:56.307	'2004-09-21T13:56:56.307'@en	literal
0.375	'0.375'@en	literal
trade 3104654	'trade 3104654'@en	transaction
Makayla (18783)	'Makayla (18783)'@en	person
Xander (18398)	'Xander (18398)'@en	person
2004-09-21T13:58:24.800	'2004-09-21T13:58:24.800'@en	literal
0.076	'0.076'@en	literal
67	'67'@en	literal
trade 3104867	'trade 3104867'@en	transaction
Talia (18809)	'Talia (18809)'@en	person
DEM04_L52	'DEM04_L52'@en	asset
2004-09-21T14:25:32.223	'2004-09-21T14:25:32.223'@en	literal
0.329	'0.329'@en	literal
trade 3104970	'trade 3104970'@en	transaction
Melissa (18836)	'Melissa (18836)'@en	person
2004-09-21T14:46:23.570	'2004-09-21T14:46:23.570'@en	literal
0.3	'0.3'@en	literal
16	'16'@en	literal
trade 3105037	'trade 3105037'@en	transaction
REP04_G52	'REP04_G52'@en	asset
2004-09-21T14:48:12.410	'2004-09-21T14:48:12.410'@en	literal
0.385	'0.385'@en	literal
trade 3105161	'trade 3105161'@en	transaction
2004-09-21T14:54:49.430	'2004-09-21T14:54:49.430'@en	literal
0.27	'0.27'@en	literal
trade 3105562	'trade 3105562'@en	transaction
Amari (18803)	'Amari (18803)'@en	person
2004-09-21T15:46:35.787	'2004-09-21T15:46:35.787'@en	literal
0.34	'0.34'@en	literal
trade 3105646	'trade 3105646'@en	transaction
2004-09-21T15:58:10.753	'2004-09-21T15:58:10.753'@en	literal
0.424	'0.424'@en	literal
trade 3105684	'trade 3105684'@en	transaction
Peyton (18019)	'Peyton (18019)'@en	person
2004-09-21T16:03:04.657	'2004-09-21T16:03:04.657'@en	literal
0.277	'0.277'@en	literal
trade 3105952	'trade 3105952'@en	transaction
Lilliana (18829)	'Lilliana (18829)'@en	person
2004-09-21T16:59:20.850	'2004-09-21T16:59:20.850'@en	literal
0.407	'0.407'@en	literal
53	'53'@en	literal
trade 3105981	'trade 3105981'@en	transaction
2004-09-21T17:00:30.400	'2004-09-21T17:00:30.400'@en	literal
0.42	'0.42'@en	literal
24	'24'@en	literal
trade 3106008	'trade 3106008'@en	transaction
Jaxson (17564)	'Jaxson (17564)'@en	person
2004-09-21T17:02:04.520	'2004-09-21T17:02:04.520'@en	literal
0.261	'0.261'@en	literal
trade 3106103	'trade 3106103'@en	transaction
Titus (18822)	'Titus (18822)'@en	person
Colton (17370)	'Colton (17370)'@en	person
2004-09-21T17:32:47.043	'2004-09-21T17:32:47.043'@en	literal
trade 3106130	'trade 3106130'@en	transaction
Wade (18814)	'Wade (18814)'@en	person
Cohen (18618)	'Cohen (18618)'@en	person
2004-09-21T17:49:31.383	'2004-09-21T17:49:31.383'@en	literal
0.07	'0.07'@en	literal
trade 3106336	'trade 3106336'@en	transaction
Emmitt (4008)	'Emmitt (4008)'@en	person
2004-09-21T19:40:01.883	'2004-09-21T19:40:01.883'@en	literal
0.254	'0.254'@en	literal
22	'22'@en	literal
trade 3107006	'trade 3107006'@en	transaction
Logan (18712)	'Logan (18712)'@en	person
Rodrigo (9508)	'Rodrigo (9508)'@en	person
2004-09-22T00:26:38.943	'2004-09-22T00:26:38.943'@en	literal
0.274	'0.274'@en	literal
trade 3107047	'trade 3107047'@en	transaction
Ian (17558)	'Ian (17558)'@en	person
2004-09-22T01:27:42.410	'2004-09-22T01:27:42.410'@en	literal
0.276	'0.276'@en	literal
39	'39'@en	literal
trade 3107164	'trade 3107164'@en	transaction
2004-09-22T10:24:24.070	'2004-09-22T10:24:24.070'@en	literal
0.267	'0.267'@en	literal
trade 3107173	'trade 3107173'@en	transaction
Ellis (18776)	'Ellis (18776)'@en	person
2004-09-22T10:32:27.913	'2004-09-22T10:32:27.913'@en	literal
0.272	'0.272'@en	literal
trade 3107253	'trade 3107253'@en	transaction
Destiny (18841)	'Destiny (18841)'@en	person
2004-09-22T10:47:08.853	'2004-09-22T10:47:08.853'@en	literal
trade 3107256	'trade 3107256'@en	transaction
2004-09-22T10:47:09.883	'2004-09-22T10:47:09.883'@en	literal
0.073	'0.073'@en	literal
trade 3107530	'trade 3107530'@en	transaction
2004-09-22T12:19:54.960	'2004-09-22T12:19:54.960'@en	literal
trade 3107753	'trade 3107753'@en	transaction
Sean (18806)	'Sean (18806)'@en	person
2004-09-22T12:56:34.110	'2004-09-22T12:56:34.110'@en	literal
0.365	'0.365'@en	literal
trade 3107960	'trade 3107960'@en	transaction
2004-09-22T13:31:23.093	'2004-09-22T13:31:23.093'@en	literal
0.299	'0.299'@en	literal
34	'34'@en	literal
trade 3108047	'trade 3108047'@en	transaction
Harper (13576)	'Harper (13576)'@en	person
2004-09-22T14:25:17.727	'2004-09-22T14:25:17.727'@en	literal
0.292	'0.292'@en	literal
trade 3108631	'trade 3108631'@en	transaction
Jason (18215)	'Jason (18215)'@en	person
2004-09-22T15:20:05.180	'2004-09-22T15:20:05.180'@en	literal
0.351	'0.351'@en	literal
trade 3109051	'trade 3109051'@en	transaction
2004-09-22T15:33:12.780	'2004-09-22T15:33:12.780'@en	literal
0.291	'0.291'@en	literal
trade 3109485	'trade 3109485'@en	transaction
Bruce (2691)	'Bruce (2691)'@en	person
2004-09-22T16:33:41.713	'2004-09-22T16:33:41.713'@en	literal
trade 3109754	'trade 3109754'@en	transaction
2004-09-22T17:54:15.680	'2004-09-22T17:54:15.680'@en	literal
0.281	'0.281'@en	literal
trade 3109935	'trade 3109935'@en	transaction
2004-09-22T18:03:15.710	'2004-09-22T18:03:15.710'@en	literal
trade 3110096	'trade 3110096'@en	transaction
Madilyn (18777)	'Madilyn (18777)'@en	person
Aniyah (18698)	'Aniyah (18698)'@en	person
2004-09-22T19:37:38.123	'2004-09-22T19:37:38.123'@en	literal
0.29	'0.29'@en	literal
trade 3110251	'trade 3110251'@en	transaction
Tanner (18799)	'Tanner (18799)'@en	person
2004-09-22T20:29:34.623	'2004-09-22T20:29:34.623'@en	literal
49	'49'@en	literal
trade 3110454	'trade 3110454'@en	transaction
Declan (18112)	'Declan (18112)'@en	person
2004-09-22T21:25:57.800	'2004-09-22T21:25:57.800'@en	literal
0.275	'0.275'@en	literal
trade 3111056	'trade 3111056'@en	transaction
Kaylani (18815)	'Kaylani (18815)'@en	person
2004-09-23T00:59:32.037	'2004-09-23T00:59:32.037'@en	literal
trade 3111621	'trade 3111621'@en	transaction
Lydia (17952)	'Lydia (17952)'@en	person
2004-09-23T09:40:16.287	'2004-09-23T09:40:16.287'@en	literal
trade 3111648	'trade 3111648'@en	transaction
2004-09-23T09:43:12.693	'2004-09-23T09:43:12.693'@en	literal
0.273	'0.273'@en	literal
trade 3111983	'trade 3111983'@en	transaction
2004-09-23T10:21:33.180	'2004-09-23T10:21:33.180'@en	literal
0.345	'0.345'@en	literal
trade 3112781	'trade 3112781'@en	transaction
2004-09-23T12:54:59.163	'2004-09-23T12:54:59.163'@en	literal
trade 3112839	'trade 3112839'@en	transaction
2004-09-23T13:02:36.767	'2004-09-23T13:02:36.767'@en	literal
0.352	'0.352'@en	literal
trade 3112990	'trade 3112990'@en	transaction
Remy (18862)	'Remy (18862)'@en	person
2004-09-23T13:23:00.563	'2004-09-23T13:23:00.563'@en	literal
60	'60'@en	literal
trade 3113023	'trade 3113023'@en	transaction
2004-09-23T13:27:57.353	'2004-09-23T13:27:57.353'@en	literal
0.083	'0.083'@en	literal
trade 3113093	'trade 3113093'@en	transaction
2004-09-23T13:28:26.000	'2004-09-23T13:28:26.000'@en	literal
0.404	'0.404'@en	literal
trade 3113099	'trade 3113099'@en	transaction
2004-09-23T13:29:35.440	'2004-09-23T13:29:35.440'@en	literal
85	'85'@en	literal
trade 3113575	'trade 3113575'@en	transaction
Orion (18782)	'Orion (18782)'@en	person
2004-09-23T16:28:09.150	'2004-09-23T16:28:09.150'@en	literal
98	'98'@en	literal
trade 3113602	'trade 3113602'@en	transaction
Celeste (18853)	'Celeste (18853)'@en	person
2004-09-23T16:28:20.887	'2004-09-23T16:28:20.887'@en	literal
0.251	'0.251'@en	literal
trade 3113776	'trade 3113776'@en	transaction
2004-09-23T17:35:28.937	'2004-09-23T17:35:28.937'@en	literal
trade 3113918	'trade 3113918'@en	transaction
2004-09-23T17:58:56.453	'2004-09-23T17:58:56.453'@en	literal
0.426	'0.426'@en	literal
trade 3113953	'trade 3113953'@en	transaction
2004-09-23T18:15:12.477	'2004-09-23T18:15:12.477'@en	literal
0.079	'0.079'@en	literal
trade 3114224	'trade 3114224'@en	transaction
2004-09-23T19:57:42.137	'2004-09-23T19:57:42.137'@en	literal
trade 3114315	'trade 3114315'@en	transaction
2004-09-23T21:34:56.833	'2004-09-23T21:34:56.833'@en	literal
0.423	'0.423'@en	literal
trade 3114501	'trade 3114501'@en	transaction
2004-09-23T23:19:18.133	'2004-09-23T23:19:18.133'@en	literal
0.429	'0.429'@en	literal
trade 3114800	'trade 3114800'@en	transaction
2004-09-24T09:33:38.397	'2004-09-24T09:33:38.397'@en	literal
0.417	'0.417'@en	literal
trade 3114887	'trade 3114887'@en	transaction
2004-09-24T09:43:36.897	'2004-09-24T09:43:36.897'@en	literal
0.225	'0.225'@en	literal
trade 3115185	'trade 3115185'@en	transaction
2004-09-24T11:41:11.927	'2004-09-24T11:41:11.927'@en	literal
0.432	'0.432'@en	literal
trade 3116744	'trade 3116744'@en	transaction
Makenzie (18827)	'Makenzie (18827)'@en	person
2004-09-25T08:50:37.540	'2004-09-25T08:50:37.540'@en	literal
0.233	'0.233'@en	literal
trade 3117377	'trade 3117377'@en	transaction
2004-09-25T15:37:25.753	'2004-09-25T15:37:25.753'@en	literal
0.084	'0.084'@en	literal
62	'62'@en	literal
trade 3117518	'trade 3117518'@en	transaction
2004-09-25T17:15:31.167	'2004-09-25T17:15:31.167'@en	literal
0.245	'0.245'@en	literal
trade 3117524	'trade 3117524'@en	transaction
2004-09-25T17:15:46.057	'2004-09-25T17:15:46.057'@en	literal
0.428	'0.428'@en	literal
trade 3117535	'trade 3117535'@en	transaction
2004-09-25T17:15:46.713	'2004-09-25T17:15:46.713'@en	literal
0.234	'0.234'@en	literal
28	'28'@en	literal
trade 3117956	'trade 3117956'@en	transaction
2004-09-25T21:26:22.323	'2004-09-25T21:26:22.323'@en	literal
0.08	'0.08'@en	literal
trade 3118589	'trade 3118589'@en	transaction
Khalil (18605)	'Khalil (18605)'@en	person
2004-09-26T15:45:40.313	'2004-09-26T15:45:40.313'@en	literal
0.242	'0.242'@en	literal
trade 3119247	'trade 3119247'@en	transaction
Kaylee (18212)	'Kaylee (18212)'@en	person
2004-09-26T20:57:36.510	'2004-09-26T20:57:36.510'@en	literal
trade 3119404	'trade 3119404'@en	transaction
2004-09-26T21:28:35.057	'2004-09-26T21:28:35.057'@en	literal
trade 3119439	'trade 3119439'@en	transaction
Kaleb (18499)	'Kaleb (18499)'@en	person
2004-09-26T21:32:01.447	'2004-09-26T21:32:01.447'@en	literal
0.231	'0.231'@en	literal
trade 3119856	'trade 3119856'@en	transaction
2004-09-27T00:35:02.940	'2004-09-27T00:35:02.940'@en	literal
trade 3120004	'trade 3120004'@en	transaction
2004-09-27T09:08:54.593	'2004-09-27T09:08:54.593'@en	literal
0.229	'0.229'@en	literal
trade 3120160	'trade 3120160'@en	transaction
Amiyah (18714)	'Amiyah (18714)'@en	person
2004-09-27T11:10:51.953	'2004-09-27T11:10:51.953'@en	literal
trade 3120233	'trade 3120233'@en	transaction
Willa (18838)	'Willa (18838)'@en	person
2004-09-27T11:36:32.363	'2004-09-27T11:36:32.363'@en	literal
0.222	'0.222'@en	literal
trade 3120296	'trade 3120296'@en	transaction
Alejandra (6251)	'Alejandra (6251)'@en	person
2004-09-27T11:41:52.310	'2004-09-27T11:41:52.310'@en	literal
0.217	'0.217'@en	literal
trade 3120979	'trade 3120979'@en	transaction
Nasir (18875)	'Nasir (18875)'@en	person
2004-09-27T14:30:26.987	'2004-09-27T14:30:26.987'@en	literal
54	'54'@en	literal
trade 3121002	'trade 3121002'@en	transaction
2004-09-27T14:31:13.583	'2004-09-27T14:31:13.583'@en	literal
64	'64'@en	literal
trade 3121840	'trade 3121840'@en	transaction
Fiona (18661)	'Fiona (18661)'@en	person
2004-09-27T17:01:55.850	'2004-09-27T17:01:55.850'@en	literal
0.069	'0.069'@en	literal
trade 3122364	'trade 3122364'@en	transaction
2004-09-27T22:29:20.813	'2004-09-27T22:29:20.813'@en	literal
0.067	'0.067'@en	literal
88	'88'@en	literal
trade 3122864	'trade 3122864'@en	transaction
2004-09-28T09:39:10.327	'2004-09-28T09:39:10.327'@en	literal
trade 3122932	'trade 3122932'@en	transaction
2004-09-28T09:58:59.240	'2004-09-28T09:58:59.240'@en	literal
0.526	'0.526'@en	literal
trade 3122935	'trade 3122935'@en	transaction
2004-09-28T09:59:42.523	'2004-09-28T09:59:42.523'@en	literal
0.202	'0.202'@en	literal
trade 3123831	'trade 3123831'@en	transaction
Gabrielle (18876)	'Gabrielle (18876)'@en	person
Delilah (17393)	'Delilah (17393)'@en	person
2004-09-28T14:11:09.993	'2004-09-28T14:11:09.993'@en	literal
trade 3123905	'trade 3123905'@en	transaction
Ariel (7602)	'Ariel (7602)'@en	person
2004-09-28T14:29:43.743	'2004-09-28T14:29:43.743'@en	literal
trade 3124095	'trade 3124095'@en	transaction
Leia (18659)	'Leia (18659)'@en	person
Lexi (18899)	'Lexi (18899)'@en	person
2004-09-28T15:19:46.430	'2004-09-28T15:19:46.430'@en	literal
0.211	'0.211'@en	literal
trade 3124364	'trade 3124364'@en	transaction
Hallie (18915)	'Hallie (18915)'@en	person
2004-09-28T17:26:49.440	'2004-09-28T17:26:49.440'@en	literal
0.215	'0.215'@en	literal
trade 3124438	'trade 3124438'@en	transaction
Parker (17933)	'Parker (17933)'@en	person
2004-09-28T18:12:52.810	'2004-09-28T18:12:52.810'@en	literal
trade 3124886	'trade 3124886'@en	transaction
Leonel (18826)	'Leonel (18826)'@en	person
2004-09-28T20:22:17.643	'2004-09-28T20:22:17.643'@en	literal
0.089	'0.089'@en	literal
trade 3125413	'trade 3125413'@en	transaction
2004-09-28T21:47:32.930	'2004-09-28T21:47:32.930'@en	literal
0.088	'0.088'@en	literal
trade 3125440	'trade 3125440'@en	transaction
2004-09-28T21:47:34.130	'2004-09-28T21:47:34.130'@en	literal
trade 3126481	'trade 3126481'@en	transaction
Cooper (17448)	'Cooper (17448)'@en	person
2004-09-29T07:32:45.093	'2004-09-29T07:32:45.093'@en	literal
0.2	'0.2'@en	literal
trade 3126524	'trade 3126524'@en	transaction
2004-09-29T07:36:19.533	'2004-09-29T07:36:19.533'@en	literal
0.203	'0.203'@en	literal
trade 3126644	'trade 3126644'@en	transaction
2004-09-29T07:52:44.803	'2004-09-29T07:52:44.803'@en	literal
0.207	'0.207'@en	literal
trade 3126645	'trade 3126645'@en	transaction
2004-09-29T07:53:04.977	'2004-09-29T07:53:04.977'@en	literal
0.474	'0.474'@en	literal
trade 3126678	'trade 3126678'@en	transaction
Jaxton (18916)	'Jaxton (18916)'@en	person
2004-09-29T07:57:56.360	'2004-09-29T07:57:56.360'@en	literal
0.21	'0.21'@en	literal
trade 3126883	'trade 3126883'@en	transaction
2004-09-29T08:24:33.557	'2004-09-29T08:24:33.557'@en	literal
trade 3126884	'trade 3126884'@en	transaction
trade 3126886	'trade 3126886'@en	transaction
2004-09-29T08:24:33.837	'2004-09-29T08:24:33.837'@en	literal
0.091	'0.091'@en	literal
trade 3126995	'trade 3126995'@en	transaction
2004-09-29T08:25:55.983	'2004-09-29T08:25:55.983'@en	literal
0.228	'0.228'@en	literal
trade 3127041	'trade 3127041'@en	transaction
Cesar (18909)	'Cesar (18909)'@en	person
2004-09-29T08:44:13.280	'2004-09-29T08:44:13.280'@en	literal
trade 3127047	'trade 3127047'@en	transaction
2004-09-29T08:44:13.560	'2004-09-29T08:44:13.560'@en	literal
trade 3127476	'trade 3127476'@en	transaction
2004-09-29T10:33:49.340	'2004-09-29T10:33:49.340'@en	literal
trade 3127532	'trade 3127532'@en	transaction
2004-09-29T10:38:09.833	'2004-09-29T10:38:09.833'@en	literal
0.095	'0.095'@en	literal
trade 3128026	'trade 3128026'@en	transaction
Michelle (18807)	'Michelle (18807)'@en	person
2004-09-29T12:53:34.337	'2004-09-29T12:53:34.337'@en	literal
trade 3128186	'trade 3128186'@en	transaction
Romeo (18920)	'Romeo (18920)'@en	person
2004-09-29T13:08:17.643	'2004-09-29T13:08:17.643'@en	literal
0.525	'0.525'@en	literal
trade 3128338	'trade 3128338'@en	transaction
Julius (18802)	'Julius (18802)'@en	person
2004-09-29T13:22:55.123	'2004-09-29T13:22:55.123'@en	literal
21	'21'@en	literal
trade 3128734	'trade 3128734'@en	transaction
2004-09-29T14:17:49.240	'2004-09-29T14:17:49.240'@en	literal
trade 3129546	'trade 3129546'@en	transaction
Brinley (18882)	'Brinley (18882)'@en	person
2004-09-29T20:08:29.430	'2004-09-29T20:08:29.430'@en	literal
trade 3129956	'trade 3129956'@en	transaction
Caiden (18930)	'Caiden (18930)'@en	person
2004-09-29T21:54:56.710	'2004-09-29T21:54:56.710'@en	literal
trade 3130297	'trade 3130297'@en	transaction
2004-09-29T23:06:54.980	'2004-09-29T23:06:54.980'@en	literal
trade 3130472	'trade 3130472'@en	transaction
2004-09-29T23:28:08.727	'2004-09-29T23:28:08.727'@en	literal
trade 3131046	'trade 3131046'@en	transaction
Tate (18852)	'Tate (18852)'@en	person
Collins (18889)	'Collins (18889)'@en	person
2004-09-30T07:15:10.727	'2004-09-30T07:15:10.727'@en	literal
92	'92'@en	literal
trade 3131055	'trade 3131055'@en	transaction
2004-09-30T07:15:35.853	'2004-09-30T07:15:35.853'@en	literal
0.238	'0.238'@en	literal
trade 3131095	'trade 3131095'@en	transaction
2004-09-30T07:26:38.817	'2004-09-30T07:26:38.817'@en	literal
0.199	'0.199'@en	literal
trade 3131098	'trade 3131098'@en	transaction
2004-09-30T07:26:39.067	'2004-09-30T07:26:39.067'@en	literal
0.23	'0.23'@en	literal
27	'27'@en	literal
trade 3131408	'trade 3131408'@en	transaction
2004-09-30T09:06:59.160	'2004-09-30T09:06:59.160'@en	literal
trade 3132003	'trade 3132003'@en	transaction
2004-09-30T11:20:19.873	'2004-09-30T11:20:19.873'@en	literal
0.487	'0.487'@en	literal
trade 3132422	'trade 3132422'@en	transaction
2004-09-30T11:53:28.117	'2004-09-30T11:53:28.117'@en	literal
trade 3132544	'trade 3132544'@en	transaction
2004-09-30T12:05:39.757	'2004-09-30T12:05:39.757'@en	literal
0.224	'0.224'@en	literal
trade 3132850	'trade 3132850'@en	transaction
Aspen (18480)	'Aspen (18480)'@en	person
2004-09-30T12:39:17.470	'2004-09-30T12:39:17.470'@en	literal
0.098	'0.098'@en	literal
trade 3132955	'trade 3132955'@en	transaction
2004-09-30T12:52:04.423	'2004-09-30T12:52:04.423'@en	literal
0.1	'0.1'@en	literal
trade 3133325	'trade 3133325'@en	transaction
2004-09-30T13:49:01.867	'2004-09-30T13:49:01.867'@en	literal
0.227	'0.227'@en	literal
trade 3133582	'trade 3133582'@en	transaction
Jay (18932)	'Jay (18932)'@en	person
Zelda (7422)	'Zelda (7422)'@en	person
2004-09-30T15:03:22.063	'2004-09-30T15:03:22.063'@en	literal
0.119	'0.119'@en	literal
trade 3134032	'trade 3134032'@en	transaction
2004-09-30T17:27:15.360	'2004-09-30T17:27:15.360'@en	literal
trade 3134049	'trade 3134049'@en	transaction
2004-09-30T17:28:40.497	'2004-09-30T17:28:40.497'@en	literal
trade 3134144	'trade 3134144'@en	transaction
Johnny (18946)	'Johnny (18946)'@en	person
